league	club	player	nationality	source
England	Birmingham	Murphy	England	fifa11
England	Birmingham	Fahey	Republic of Ireland	fifa11
England	Birmingham	Derbyshire	England	fifa11
England	Birmingham	Phillips	England	fifa11
England	Birmingham	C. Gardner	England	fifa11
England	Blackburn	Robinson	England	fifa11
England	Blackburn	Emerton	Australia	fifa11
England	Blackburn	Nelsen	New Zealand	fifa11
England	Blackburn	Givet	France	fifa11
England	Blackburn	Salgado	Spain	fifa11
England	Blackburn	N'Zonzi	France	manual-audit
England	Blackburn	Andrews	Republic of Ireland	fifa11
England	Blackburn	Diouf	Senegal	fifa11
England	Blackburn	Pedersen	Norway	fifa11
England	Blackburn	Roberts	Grenada	fifa11
England	Blackburn	Kalinic	Croatia	fifa11
England	Blackburn	Brown	Wales	fifa11
England	Blackburn	Samba	Congo	fifa11
England	Blackburn	P. Jones	England	fifa11
England	Blackburn	Hoilett	Canada	fifa11
England	Blackburn	Grella	Australia	fifa11
England	Blackburn	Benjani	Zimbabwe	manual-audit
England	Blackburn	Dunn	England	fifa11
England	Blackburn	M. Diouf	Senegal	fifa11
England	Blackburn	Olsson	Sweden	fifa11
England	Stoke City	Sorensen	Turkey	fifa11
England	Stoke City	Huth	Germany	fifa11
England	Stoke City	Higginbotham	England	fifa11
England	Stoke City	Shawcross	England	fifa11
England	Stoke City	Faye	Senegal	fifa11
England	Stoke City	Delap	Republic of Ireland	fifa11
England	Stoke City	Whelan	Republic of Ireland	fifa11
England	Stoke City	Wilson	Republic of Ireland	fifa11
England	Stoke City	Etherington	England	fifa11
England	Stoke City	Fuller	Jamaica	fifa11
England	Stoke City	K. Jones	Trinidad & Tobago	fifa11
England	Stoke City	Begovic	Bosnia & Herzegovina	fifa11
England	Stoke City	Tuncay	Turkey	fifa11
England	Stoke City	Pennant	England	fifa11
England	Stoke City	Wilkinson	England	fifa11
England	Stoke City	Tonge	England	fifa11
England	Stoke City	Walters	Republic of Ireland	fifa11
England	Stoke City	Gudjohnsen	Iceland	fifa11
England	Stoke City	Diao	Senegal	fifa11
England	Stoke City	Whitehead	England	fifa11
England	Fulham	Schwarzer	Australia	fifa11
England	Fulham	Salcido	Mexico	fifa11
England	Fulham	Pantsil	South Korea	fifa11
England	Fulham	Hughes	Northern Ireland	fifa11
England	Fulham	Senderos	Switzerland	fifa11
England	Fulham	Dempsey	United States	fifa11
England	Fulham	Etuhu	Nigeria	fifa11
England	Fulham	Gera	Hungary	fifa11
England	Fulham	Murphy	England	fifa11
England	Fulham	Zamora	England	fifa11
England	Fulham	Johnson	England	fifa11
England	Fulham	Hangeland	Norway	fifa11
England	Fulham	Stockdale	England	fifa11
England	Fulham	Kamara	Senegal	fifa11
England	Fulham	Dembele	Belgium	fifa11
England	Fulham	Davies	Wales	fifa11
England	Fulham	Greening	England	fifa11
England	Fulham	Duff	Republic of Ireland	fifa11
England	Fulham	Baird	Northern Ireland	fifa11
England	Fulham	Kelly	Republic of Ireland	fifa11
England	Sunderland	Mignolet	Belgium	fifa11
England	Sunderland	Bardsley	England	fifa11
England	Sunderland	Ferdinand	England	fifa11
England	Sunderland	Da Silva	Paraguay	fifa11
England	Sunderland	Angeleri	Argentina	fifa11
England	Sunderland	Reid	Republic of Ireland	fifa11
England	Sunderland	Henderson	England	fifa11
England	Sunderland	Richardson	England	fifa11
England	Sunderland	Malbranque	France	fifa11
England	Sunderland	Bent	England	fifa11
England	Sunderland	Gyan	Ghana	fifa11
England	Sunderland	Gordon	Scotland	fifa11
England	Sunderland	Onuoha	England	fifa11
England	Sunderland	Bramble	England	fifa11
England	Sunderland	Riveros	Paraguay	fifa11
England	Sunderland	Cattermole	England	fifa11
England	Sunderland	Zenden	Netherlands	fifa11
England	Sunderland	Welbeck	England	fifa11
England	Sunderland	Elmohamady	Egypt	fifa11
England	Sunderland	Mensah	Ghana	fifa11
England	Bolton	Jaaskelainen	Finland	fifa11
England	Bolton	Ricketts	Wales	fifa11
England	Bolton	Cahill	England	fifa11
England	Bolton	Knight	England	fifa11
England	Bolton	Samuel	Trinidad & Tobago	fifa11
England	Bolton	M. Davies	England	fifa11
England	Bolton	Muamba	England	fifa11
England	Bolton	Gardner	Jamaica	fifa11
England	Bolton	Taylor	England	fifa11
England	Bolton	K. Davies	England	fifa11
England	Bolton	Elmander	Sweden	fifa11
England	Bolton	Bogdan	Hungary	fifa11
England	Bolton	P. Robinson	England	fifa11
England	Bolton	Cohen	Israel	fifa11
England	Bolton	Steinsson	Iceland	fifa11
England	Bolton	Petrov	Bulgaria	fifa11
England	Bolton	Lee Chung-yong	South Korea	fifa11
England	Bolton	Holden	United States	fifa11
England	Bolton	Klasnic	Croatia	fifa11
England	Bolton	Blake	England	fifa11
England	Wolves	Hennessey	Wales	fifa11
England	Wolves	Foley	Republic of Ireland	fifa11
England	Wolves	Stearman	England	fifa11
England	Wolves	Zubar	France	fifa11
