club	player
APOEL	Marcin Żewłakow
Apollon Limassol	Sofronis Avgousti
Apollon Limassol	Bruno Vale
Apollon Limassol	Bruno Luz
Apollon Limassol	Giorgos Merkis
Apollon Limassol	Marios Stylianou
Apollon Limassol	Gastón Sangoy
Apollon Limassol	Haris Handžić
Apollon Limassol	Camel Meriem
Apollon Limassol	Nuno Lopes
Apollon Limassol	Costas Maris
Apollon Limassol	Jatto Ceesay
Apollon Limassol	Richard Kingson
Omonia Nicosia	Stefanos Kotsolis
Omonia Nicosia	Georgios Loizou
Omonia Nicosia	Rasheed Alabi
Anorthosis Famagusta	Gavriil Konstantinou
Anorthosis Famagusta	Nikolas Asprogenous
Anorthosis Famagusta	Hawar Mulla Mohammed
Anorthosis Famagusta	Semedo
Anorthosis Famagusta	Andreas Makris
Sparta Praha	Bony Wilfried
Viktoria Plzeň	Antonín Presl
FK Jablonec	Tomáš Čížek
FK Jablonec	Jiří Valenta
Esbjerg fB	Kevin Bechmann Timm
HJK Helsinki	Ville Wallén
HJK Helsinki	Cheyne Fowler
HJK Helsinki	Medo
HJK Helsinki	Berat Sadik
AEK Athens	Giorgos Manolas
Aris Thessaloniki	Michal Peškovič
Aris Thessaloniki	Sakata Daisuke
Asteras Tripolis	Ximo Navarro
Asteras Tripolis	Fernando Usero
Asteras Tripolis	Frédéric Nimani
Asteras Tripolis	Daniel Césarec
Asteras Tripolis	Emmanuel Perrone
Asteras Tripolis	Lucio Filomeno
Asteras Tripolis	Rayo
Debreceni VSC	László Bodnár
Debreceni VSC	Zoltán Szélesi
Debreceni VSC	Yannick Mbengono
Ferencváros	Levente Jova
Ferencváros	József Tóth
Shamrock Rovers	Aidan Price
Shamrock Rovers	Chris Turner
Shamrock Rovers	Stephen Rice
Shamrock Rovers	Thomas Stewart
Shamrock Rovers	Pat Flynn
Shamrock Rovers	Patrick Sullivan
Shamrock Rovers	Robert Bayly
Shamrock Rovers	Sean O'Connor
Shamrock Rovers	Aidan Downes
Shamrock Rovers	Dessie Baker
Shamrock Rovers	Stephen Bradley
Hapoel Tel Aviv	Itamar Nitzan
Hapoel Tel Aviv	Roei Gordana
Maccabi Haifa	Ali Ottman
Maccabi Tel Aviv	Guy Solomon
Maccabi Tel Aviv	Avi Strool
Maccabi Tel Aviv	Dor Micha
Maccabi Tel Aviv	Moshe Logasi
Sheriff Tiraspol	Benjamin Balima
Sheriff Tiraspol	Alexandru Suvorov
Sheriff Tiraspol	Marko Đalović
Sheriff Tiraspol	Fred Benson
Sheriff Tiraspol	Stanislav Ivanov
Sheriff Tiraspol	Mahamadou Traoré
NEC Nijmegen	Adnan Secerovic
Rosenborg BK	Bakary Sare
Tromsø IL	Thomas Drage
Vålerenga	Mostafa Abdellaoue
Lech Poznań	Sergei Krivets
