club_id	club	source_name	source_url	score	status
eu_romania_otelul-galati	Oțelul Galați	Oţelul Galaţi	https://www.eurofotbal.cz/kluby/rumunsko/otelul-galati/soupiska/2010-2011/	1.000	CONFIRMED
eu_romania_rapid-bucuresti	Rapid București	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/rumunsko/rapid-1923/soupiska/2010-2011/	1.000	CONFIRMED
eu_romania_steaua-bucuresti	Steaua București	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/rumunsko/fcsb/soupiska/2010-2011/	1.000	CONFIRMED
eu_romania_fc-timisoara	FC Timișoara	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/rumunsko/politehnica-temesvar/soupiska/2010-2011/	1.000	CONFIRMED
eu_romania_sc-vaslui	SC Vaslui	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/rumunsko/fc-vaslui/soupiska/2010-2011/	1.000	CONFIRMED
eu_russia_anzhi-makhachkala	Anzhi Makhachkala	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/rusko/anzi-machackala/soupiska/2010/	1.000	CONFIRMED
eu_russia_cska-moscow	CSKA Moscow	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/rusko/cska-moskva/soupiska/2010/	1.000	CONFIRMED
eu_russia_fc-krasnodar	FC Krasnodar	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/rusko/fk-krasnodar/soupiska/2010/	1.000	CONFIRMED
eu_russia_kuban-krasnodar	Kuban Krasnodar	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/rusko/kuban-krasnodar/soupiska/2010/	1.000	CONFIRMED
eu_russia_lokomotiv-moscow	Lokomotiv Moscow	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/rusko/lokomotiv-moskva/soupiska/2010/	1.000	CONFIRMED
eu_russia_rubin-kazan	Rubin Kazan	Rubin Kazaň	https://www.eurofotbal.cz/kluby/rusko/rubin-kazan/soupiska/2010/	1.000	CONFIRMED
eu_russia_spartak-moscow	Spartak Moscow	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/rusko/spartak-moskva/soupiska/2010/	1.000	CONFIRMED
eu_russia_zenit-st-petersburg	Zenit St Petersburg	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/rusko/zenit-petrohrad/soupiska/2010/	1.000	CONFIRMED
eu_russia_dynamo-moscow	Dynamo Moscow	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/rusko/dinamo-moskva/soupiska/2010/	1.000	CONFIRMED
eu_scotland_aberdeen	Aberdeen	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/skotsko/aberdeen-fc/soupiska/2010-2011/	1.000	CONFIRMED
eu_scotland_celtic	Celtic	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/skotsko/celtic-fc/soupiska/2010-2011/	1.000	CONFIRMED
eu_scotland_rangers	Rangers	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/skotsko/rangers-fc/soupiska/2010-2011/	1.000	CONFIRMED
eu_scotland_heart-of-midlothian	Heart of Midlothian	Heart of Midlothian	https://www.eurofotbal.cz/kluby/skotsko/heart-of-midlothian/soupiska/2010-2011/	1.000	CONFIRMED
eu_serbia_partizan-belgrade	Partizan Belgrade	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/srbsko/fk-partizan/soupiska/2010-2011/	1.000	CONFIRMED
eu_serbia_red-star-belgrade	Red Star Belgrade	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/srbsko/fk-crvena-zvezda/soupiska/2010-2011/	1.000	CONFIRMED
eu_serbia_vojvodina-novi-sad	Vojvodina Novi Sad	Vojvodina Novi Sad	https://www.eurofotbal.cz/kluby/srbsko/vojvodina-novi-sad/soupiska/2010-2011/	1.000	CONFIRMED
eu_slovakia_msk-zilina	MŠK Žilina	MŠK Žilina	https://www.eurofotbal.cz/kluby/slovensko/msk-zilina/soupiska/2010-2011/	1.000	CONFIRMED
